1000			
694	531	32	A
1023	1061	16	B
638	1461	2	C
1921	808	32	D
1081	1450	4	A
874	1104	32	B
590	890	2	C
1405	1347	32	D
1564	1475	8	A
1493	611	16	B
1236	597	32	C
1942	322	32	D
2010	1308	32	A
1935	866	32	B
1739	661	32	C
1112	1439	2	D
561	580	32	A
416	977	2	B
1797	992	8	C
1723	402	4	D
364	988	8	A
1321	654	32	B
696	622	8	C
578	323	2	D
1887	590	4	A
1655	467	2	B
1279	1399	8	C
1395	503	16	D
1814	903	2	A
1073	1341	8	B
889	1452	32	C
561	1105	16	D
1858	763	4	A
866	793	8	B
647	662	16	C
506	1354	8	D
594	723	32	A
1820	1526	16	B
2048	932	2	C
1899	505	8	D
142	835	32	A
1437	1263	8	B
184	1096	4	C
784	262	32	D
938	524	32	A
1203	318	16	B
1300	1281	16	C
1591	899	32	D
1828	141	2	A
980	1472	8	B
1224	1138	16	C
1500	735	32	D
1508	918	16	A
1983	1254	8	B
1099	1518	2	C
776	312	32	D
528	185	4	A
1563	545	2	B
302	1042	2	C
174	1174	2	D
1985	533	2	A
1993	1238	32	B
1538	150	2	C
622	932	8	D
1536	1164	2	A
213	237	16	B
992	862	32	C
1100	1252	4	D
1740	951	8	A
1717	959	4	B
961	1519	8	C
1623	1277	8	D
310	1259	2	A
1220	1213	16	B
1517	215	8	C
1406	609	32	D
277	236	8	A
402	416	4	B
525	1523	16	C
1421	1230	32	D
1256	484	8	A
1042	880	8	B
770	683	16	C
1656	860	2	D
1074	1075	2	A
1456	217	16	B
1782	398	4	C
1835	213	4	D
976	774	32	A
1500	862	2	B
1245	1487	16	C
399	761	8	D
1636	142	32	A
661	668	16	B
237	172	8	C
1115	811	4	D
1633	700	32	A
1331	1292	4	B
1046	363	8	C
354	683	16	D
946	541	4	A
1348	856	8	B
2026	350	2	C
1989	1128	4	D
800	1476	4	A
542	127	16	B
1296	640	2	C
241	1171	32	D
1254	417	2	A
1564	811	8	B
1157	1119	4	C
1269	310	32	D
1301	290	2	A
1864	1244	32	B
1020	710	32	C
1625	932	16	D
806	291	16	A
1033	1022	8	B
1298	678	32	C
921	866	8	D
1359	1228	32	A
519	273	8	B
1098	1487	16	C
1614	597	32	D
951	1296	16	A
836	1340	2	B
1988	1109	4	C
1923	181	8	D
1830	1176	2	A
142	1181	8	B
1063	703	16	C
1027	943	4	D
2004	103	32	A
1750	1224	32	B
1823	1218	4	C
227	552	32	D
1759	336	4	A
1464	1276	32	B
1974	127	32	C
567	1409	2	D
1469	1116	4	A
697	746	32	B
1307	405	8	C
771	1110	4	D
636	1370	8	A
1276	119	2	B
1829	463	2	C
1703	1479	2	D
495	840	8	A
315	757	4	B
754	730	4	C
1681	453	8	D
963	1531	8	A
1134	563	16	B
401	990	8	C
752	1430	32	D
1731	618	8	A
1815	662	8	B
1330	1338	4	C
490	1152	8	D
175	1170	2	A
112	420	16	B
1756	159	32	C
1174	528	4	D
1422	1153	32	A
1240	906	16	B
583	266	32	C
1385	243	4	D
871	472	16	A
2038	830	2	B
1357	328	4	C
254	239	8	D
644	326	2	A
1048	586	32	B
1376	976	16	C
251	818	32	D
232	1378	16	A
488	1527	2	B
1931	1358	2	C
1236	754	8	D
1276	546	2	A
790	1204	2	B
673	503	4	C
1974	743	2	D
809	763	16	A
447	750	8	B
1007	340	16	C
716	1494	16	D
1031	640	2	A
1379	799	32	B
1414	642	4	C
191	922	8	D
913	581	2	A
929	635	2	B
1993	1480	2	C
641	266	2	D
366	412	32	A
913	1194	4	B
1703	383	16	C
404	714	8	D
607	919	8	A
1013	1396	8	B
341	564	32	C
1971	841	16	D
844	1164	2	A
1400	471	4	B
1707	1169	8	C
117	577	16	D
1612	385	4	A
1334	1115	16	B
1746	731	32	C
1893	1034	4	D
799	551	8	A
358	879	2	B
1453	950	8	C
751	198	4	D
898	109	8	A
266	1063	8	B
1808	434	2	C
139	885	8	D
1825	175	16	A
772	1120	32	B
487	790	4	C
968	327	2	D
1895	1027	4	A
562	997	32	B
2029	998	8	C
858	1305	4	D
1627	1184	32	A
2045	765	2	B
1788	1133	32	C
656	1440	2	D
1933	569	32	A
1766	321	16	B
1340	635	8	C
1205	1240	4	D
407	197	2	A
318	1035	2	B
1352	896	4	C
1514	923	2	D
1890	1148	32	A
320	1237	32	B
314	915	2	C
1717	132	2	D
1301	1216	8	A
1568	1456	2	B
1360	1109	32	C
1863	1062	2	D
811	167	16	A
406	171	4	B
711	422	32	C
1202	1348	16	D
913	701	2	A
1908	633	2	B
1784	124	8	C
637	1018	8	D
855	1325	32	A
1496	1520	2	B
1047	678	2	C
562	793	16	D
1418	852	2	A
1340	370	2	B
223	1435	2	C
1954	744	16	D
323	243	2	A
1564	720	4	B
843	1457	2	C
852	1191	32	D
115	949	32	A
376	795	2	B
916	769	32	C
1805	438	4	D
1172	289	16	A
866	813	4	B
705	110	2	C
1624	163	32	D
1302	573	2	A
812	442	2	B
770	107	2	C
1270	1395	32	D
1703	319	32	A
1156	1342	4	B
780	121	16	C
674	906	4	D
194	159	2	A
2023	1357	4	B
1778	289	8	C
376	882	8	D
322	934	2	A
796	1065	16	B
1463	1292	2	C
1935	711	32	D
1430	356	32	A
1907	1163	2	B
888	771	16	C
1861	898	8	D
1330	165	32	A
1360	828	8	B
1762	719	4	C
1609	645	2	D
1073	1307	2	A
750	739	4	B
1957	111	2	C
1575	653	2	D
540	1261	2	A
634	441	4	B
1465	142	32	C
2020	1095	32	D
1225	1067	32	A
157	709	32	B
1752	343	8	C
858	1370	4	D
891	307	16	A
409	984	16	B
168	194	4	C
648	123	16	D
1031	847	8	A
1323	1174	32	B
1718	1405	32	C
390	1490	16	D
1587	807	16	A
1652	225	2	B
1776	1270	8	C
460	568	16	D
1158	1197	4	A
1532	306	32	B
824	414	32	C
1614	1074	2	D
640	472	32	A
556	445	16	B
2018	390	16	C
100	254	2	D
625	1042	32	A
1602	615	32	B
1198	1239	4	C
934	691	2	D
1211	166	2	A
688	423	4	B
1020	103	2	C
195	1061	16	D
420	799	4	A
138	1420	32	B
1442	677	16	C
791	111	8	D
383	877	16	A
728	199	16	B
2013	949	32	C
910	442	4	D
1324	512	4	A
149	1036	2	B
1676	1222	4	C
1829	734	32	D
1880	596	8	A
520	1341	4	B
574	701	16	C
1575	1318	2	D
1006	218	4	A
792	563	8	B
641	218	2	C
1774	414	32	D
791	439	8	A
1592	617	8	B
1957	1327	2	C
288	543	2	D
987	1285	32	A
429	231	2	B
221	369	4	C
728	316	32	D
1580	1183	16	A
1348	141	32	B
1859	1162	16	C
455	987	4	D
404	1283	32	A
2039	883	16	B
505	497	4	C
2009	421	32	D
853	482	8	A
1698	1393	4	B
510	562	8	C
1069	413	4	D
1847	210	32	A
1839	608	2	B
823	914	16	C
492	1363	32	D
978	1318	8	A
266	566	16	B
1734	276	16	C
984	310	16	D
545	1248	2	A
1944	362	2	B
1208	337	4	C
639	326	16	D
786	1272	16	A
826	768	4	B
697	571	2	C
314	236	32	D
1348	1377	4	A
1073	600	4	B
1536	1527	32	C
341	1514	16	D
923	672	16	A
1821	1235	4	B
1169	701	16	C
1964	498	2	D
1198	889	16	A
382	535	32	B
330	1280	16	C
261	1041	8	D
1682	855	8	A
1608	1015	2	B
1717	183	2	C
448	1260	4	D
1190	487	4	A
1458	631	8	B
1482	1441	2	C
639	1181	8	D
943	788	2	A
404	1201	2	B
1281	617	8	C
562	307	2	D
1527	832	8	A
1805	1083	4	B
121	1014	2	C
1763	678	4	D
1188	1016	2	A
581	103	32	B
338	544	16	C
793	431	2	D
1809	1260	8	A
1506	274	4	B
193	110	2	C
1187	457	16	D
734	751	16	A
1079	1531	2	B
693	396	8	C
878	158	8	D
1823	398	8	A
1172	252	32	B
1160	1242	32	C
1944	253	2	D
1068	877	2	A
460	1172	2	B
1783	176	32	C
693	168	32	D
599	1075	8	A
1567	198	16	B
1402	1466	32	C
613	1052	16	D
1968	1358	8	A
650	542	4	B
1825	230	8	C
302	607	8	D
1048	185	32	A
1042	1452	16	B
1371	279	32	C
1328	1093	32	D
908	1228	8	A
1104	1182	4	B
2014	125	2	C
306	416	8	D
1115	1163	8	A
1023	235	32	B
175	803	32	C
719	499	4	D
1819	714	16	A
1012	1094	16	B
982	1476	16	C
535	952	16	D
413	397	16	A
1948	669	4	B
765	1400	4	C
555	201	4	D
1494	1201	8	A
1728	1498	8	B
686	818	16	C
474	825	2	D
270	635	2	A
861	705	2	B
1536	637	2	C
1703	127	2	D
1568	1012	2	A
546	368	32	B
1448	902	8	C
1449	1090	16	D
525	1072	16	A
814	1425	2	B
1937	108	4	C
1266	275	2	D
340	1175	16	A
1979	1244	8	B
1580	371	8	C
1460	309	16	D
1298	685	8	A
819	1084	32	B
1471	1107	2	C
1377	1219	32	D
358	1507	2	A
1693	259	8	B
1457	465	4	C
548	555	32	D
233	1248	2	A
1847	1494	8	B
992	1226	32	C
1800	1370	32	D
876	1186	8	A
585	1299	16	B
499	1010	2	C
867	273	32	D
1415	712	32	A
2045	285	16	B
142	1185	8	C
1500	238	4	D
1837	622	4	A
773	370	4	B
1883	706	2	C
1341	1465	16	D
653	1004	32	A
1836	663	4	B
1296	1516	8	C
1686	1201	8	D
830	1133	2	A
896	485	8	B
1781	886	8	C
908	1523	32	D
1550	1261	16	A
1161	268	16	B
1839	1427	4	C
1791	1075	32	D
940	702	16	A
1234	1394	8	B
878	504	16	C
717	133	16	D
825	1157	2	A
588	1533	8	B
1503	304	4	C
1990	1039	2	D
1839	581	16	A
952	389	8	B
447	1177	4	C
1103	1151	4	D
1727	594	32	A
1268	622	2	B
267	1178	8	C
851	501	32	D
1405	993	32	A
1838	593	4	B
810	788	32	C
757	750	16	D
1036	1031	16	A
969	1474	16	B
1092	605	16	C
585	1303	16	D
1139	936	16	A
247	1123	16	B
210	317	8	C
763	711	4	D
173	723	2	A
244	927	2	B
321	815	4	C
1930	424	16	D
1945	1073	16	A
224	507	8	B
